대륙별+국가별,성별,under_10,g10,g20,g30,g40,g50,g60,over_70,대륙
허드맥도날드,남    ,0,0,0,0,1,0,0,0,대양주
허드맥도날드,여    ,0,0,0,0,0,0,0,0,대양주
호주령솔로몬군도,남    ,1,1,1,3,2,1,0,0,대양주
호주령솔로몬군도,여    ,0,0,0,1,0,0,1,0,대양주
남아프리카 공화국,남    ,102,230,327,621,597,281,147,34,아프리카
남아프리카 공화국,여    ,84,186,257,280,323,199,102,27,아프리카
나이지리아,남    ,4,9,108,385,551,235,30,1,아프리카
나이지리아,여    ,3,8,27,18,40,24,5,2,아프리카
이집트,남    ,232,521,954,1692,2375,2052,1219,165,중동
이집트,여    ,162,515,1326,1345,2624,3182,1439,182,중동
가나,남    ,13,20,29,83,117,44,11,1,아프리카
가나,여    ,13,15,19,32,34,9,0,0,아프리카
리비아,남    ,13,6,67,294,467,316,73,7,중동
리비아,여    ,4,6,12,24,19,21,1,1,중동
수단,남    ,6,5,29,58,51,21,4,1,중동
수단,여    ,2,3,8,7,6,3,0,0,중동
모로코,남    ,6,5,33,95,106,24,8,1,중동
모로코,여    ,8,4,62,31,34,10,5,1,중동
케냐,남    ,26,70,187,185,218,150,133,9,아프리카
케냐,여    ,26,79,216,113,129,84,46,11,아프리카
튀니지,남    ,2,2,28,42,37,15,5,4,중동
튀니지,여    ,2,9,33,12,11,2,1,0,중동
에티오피아,남    ,4,8,21,29,28,13,5,0,아프리카
에티오피아,여    ,3,10,44,16,7,2,1,0,아프리카
알제리,남    ,0,0,26,63,85,35,4,0,아프리카
알제리,여    ,0,2,3,10,1,1,0,0,아프리카
탄자니아,남    ,2,29,31,24,64,35,11,1,아프리카
탄자니아,여    ,4,22,50,14,19,14,4,2,아프리카
앙골라,남    ,2,0,83,241,188,61,3,0,아프리카
앙골라,여    ,2,0,4,3,1,1,0,0,아프리카
카메룬,남    ,3,4,7,11,14,10,2,0,아프리카
카메룬,여    ,5,3,7,6,7,3,1,1,아프리카
우간다,남    ,4,3,25,41,41,34,7,0,아프리카
우간다,여    ,1,7,32,21,27,18,1,0,아프리카
모리셔스,남    ,0,0,0,4,3,0,1,0,아프리카
