"TIME","GEO","AGE","UNIT","SEX","Value","Flag and Footnotes"
"1985","Malta","Total","Thousand persons","Total",":",""
"1985","Malta","Total","Percentage of total population","Total",":",""
"1985","Malta","Total","Percentage of active population","Total",":",""
"1985","Netherlands","Total","Thousand persons","Total","515",""
"1985","Netherlands","Total","Percentage of total population","Total",":",""
"1985","Netherlands","Total","Percentage of active population","Total","8.4",""
"1985","Austria","Total","Thousand persons","Total",":",""
"1985","Austria","Total","Percentage of total population","Total",":",""
"1985","Austria","Total","Percentage of active population","Total",":",""
"1985","Poland","Total","Thousand persons","Total",":",""
"1985","Poland","Total","Percentage of total population","Total",":",""
"1985","Poland","Total","Percentage of active population","Total",":",""
"1985","Portugal","Total","Thousand persons","Total","462",""
"1985","Portugal","Total","Percentage of total population","Total",":",""
"1985","Portugal","Total","Percentage of active population","Total","9.8",""
"1985","Romania","Total","Thousand persons","Total",":",""
"1985","Romania","Total","Percentage of total population","Total",":",""
"1985","Romania","Total","Percentage of active population","Total",":",""
"1985","Slovenia","Total","Thousand persons","Total",":",""
"1985","Slovenia","Total","Percentage of total population","Total",":",""
"1985","Slovenia","Total","Percentage of active population","Total",":",""
"1985","Slovakia","Total","Thousand persons","Total",":",""
"1985","Slovakia","Total","Percentage of total population","Total",":",""
"1985","Slovakia","Total","Percentage of active population","Total",":",""
"1985","Finland","Total","Thousand persons","Total",":",""
"1985","Finland","Total","Percentage of total population","Total",":",""
"1985","Finland","Total","Percentage of active population","Total",":",""
"1985","Sweden","Total","Thousand persons","Total","128",""
"1985","Sweden","Total","Percentage of total population","Total",":",""
"1985","Sweden","Total","Percentage of active population","Total","2.9",""
"1985","United Kingdom","Total","Thousand persons","Total","3,064",""
"1985","United Kingdom","Total","Percentage of total population","Total",":",""
"1985","United Kingdom","Total","Percentage of active population","Total","11.2",""
"1985","Iceland","Total","Thousand persons","Total",":",""
"1985","Iceland","Total","Percentage of total population","Total",":",""
"1985","Iceland","Total","Percentage of active population","Total",":",""
"1985","Norway","Total","Thousand persons","Total",":",""
"1985","Norway","Total","Percentage of total population","Total",":",""
"1985","Norway","Total","Percentage of active population","Total",":",""
"1985","Turkey","Total","Thousand persons","Total",":",""
"1985","Turkey","Total","Percentage of total population","Total",":",""
"1985","Turkey","Total","Percentage of active population","Total",":",""
"1985","United States","Total","Thousand persons","Total","8,312",""
"1985","United States","Total","Percentage of total population","Total",":",""
"1985","United States","Total","Percentage of active population","Total","7.2",""
"1985","Japan","Total","Thousand persons","Total","1,564",""
"1985","Japan","Total","Percentage of total population","Total",":",""
"1985","Japan","Total","Percentage of active population","Total","2.6",""
"1986","European Union (28 countries)","Total","Thousand persons","Total",":",""
"1986","European Union (28 countries)","Total","Percentage of total population","Total",":",""
"1986","European Union (28 countries)","Total","Percentage of active population","Total",":",""
"1986","European Union (27 countries)","Total","Thousand persons","Total",":",""
"1986","European Union (27 countries)","Total","Percentage of total population","Total",":",""
"1986","European Union (27 countries)","Total","Percentage of active population","Total",":",""
"1986","European Union (25 countries)","Total","Thousand persons","Total",":",""
"1986","European Union (25 countries)","Total","Percentage of total population","Total",":",""
"1986","European Union (25 countries)","Total","Percentage of active population","Total",":",""
"1986","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Thousand persons","Total",":",""
"1986","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of total population","Total",":",""
"1986","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Total","Percentage of active population","Total",":",""
"1986","Euro area (19 countries)","Total","Thousand persons","Total",":",""
"1986","Euro area (19 countries)","Total","Percentage of total population","Total",":",""
"1986","Euro area (19 countries)","Total","Percentage of active population","Total",":",""
"1986","Euro area (18 countries)","Total","Thousand persons","Total",":",""
"1986","Euro area (18 countries)","Total","Percentage of total population","Total",":",""
"1986","Euro area (18 countries)","Total","Percentage of active population","Total",":",""
"1986","Belgium","Total","Thousand persons","Total",":",""
"1986","Belgium","Total","Percentage of total population","Total",":",""
"1986","Belgium","Total","Percentage of active population","Total",":",""
"1986","Bulgaria","Total","Thousand persons","Total",":",""
"1986","Bulgaria","Total","Percentage of total population","Total",":",""
"1986","Bulgaria","Total","Percentage of active population","Total",":",""
"1986","Czech Republic","Total","Thousand persons","Total",":",""
"1986","Czech Republic","Total","Percentage of total population","Total",":",""
"1986","Czech Republic","Total","Percentage of active population","Total",":",""
"1986","Denmark","Total","Thousand persons","Total","139",""
"1986","Denmark","Total","Percentage of total population","Total",":",""
"1986","Denmark","Total","Percentage of active population","Total","5.0",""
"1986","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total",":",""
"1986","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total",":",""
"1986","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total",":",""
"1986","Estonia","Total","Thousand persons","Total",":",""
"1986","Estonia","Total","Percentage of total population","Total",":",""
"1986","Estonia","Total","Percentage of active population","Total",":",""
"1986","Ireland","Total","Thousand persons","Total","218",""
"1986","Ireland","Total","Percentage of total population","Total",":",""
"1986","Ireland","Total","Percentage of active population","Total","16.8",""
"1986","Greece","Total","Thousand persons","Total",":",""
"1986","Greece","Total","Percentage of total population","Total",":",""
"1986","Greece","Total","Percentage of active population","Total",":",""
"1986","Spain","Total","Thousand persons","Total",":",""
"1986","Spain","Total","Percentage of total population","Total",":",""
"1986","Spain","Total","Percentage of active population","Total",":",""
"1986","France","Total","Thousand persons","Total","2,244",""
"1986","France","Total","Percentage of total population","Total",":",""
"1986","France","Total","Percentage of active population","Total","8.9",""
"1986","Croatia","Total","Thousand persons","Total",":",""
"1986","Croatia","Total","Percentage of total population","Total",":",""
"1986","Croatia","Total","Percentage of active population","Total",":",""
"1986","Italy","Total","Thousand persons","Total","2,044","p"
"1986","Italy","Total","Percentage of total population","Total",":",""
"1986","Italy","Total","Percentage of active population","Total","8.9","p"
"1986","Cyprus","Total","Thousand persons","Total",":",""
"1986","Cyprus","Total","Percentage of total population","Total",":",""
"1986","Cyprus","Total","Percentage of active population","Total",":",""
"1986","Latvia","Total","Thousand persons","Total",":",""
"1986","Latvia","Total","Percentage of total population","Total",":",""
"1986","Latvia","Total","Percentage of active population","Total",":",""
"1986","Lithuania","Total","Thousand persons","Total",":",""
"1986","Lithuania","Total","Percentage of total population","Total",":",""
"1986","Lithuania","Total","Percentage of active population","Total",":",""
"1986","Luxembourg","Total","Thousand persons","Total","4",""
"1986","Luxembourg","Total","Percentage of total population","Total",":",""
"1986","Luxembourg","Total","Percentage of active population","Total","2.6",""
"1986","Hungary","Total","Thousand persons","Total",":",""
"1986","Hungary","Total","Percentage of total population","Total",":",""
"1986","Hungary","Total","Percentage of active population","Total",":",""
"1986","Malta","Total","Thousand persons","Total",":",""
"1986","Malta","Total","Percentage of total population","Total",":",""
"1986","Malta","Total","Percentage of active population","Total",":",""
"1986","Netherlands","Total","Thousand persons","Total","477",""
"1986","Netherlands","Total","Percentage of total population","Total",":",""
"1986","Netherlands","Total","Percentage of active population","Total","7.6",""
"1986","Austria","Total","Thousand persons","Total",":",""
"1986","Austria","Total","Percentage of total population","Total",":",""
"1986","Austria","Total","Percentage of active population","Total",":",""
"1986","Poland","Total","Thousand persons","Total",":",""
"1986","Poland","Total","Percentage of total population","Total",":",""
"1986","Poland","Total","Percentage of active population","Total",":",""
"1986","Portugal","Total","Thousand persons","Total","444",""
"1986","Portugal","Total","Percentage of total population","Total",":",""
"1986","Portugal","Total","Percentage of active population","Total","9.5",""
"1986","Romania","Total","Thousand persons","Total",":",""
"1986","Romania","Total","Percentage of total population","Total",":",""
"1986","Romania","Total","Percentage of active population","Total",":",""
"1986","Slovenia","Total","Thousand persons","Total",":",""
"1986","Slovenia","Total","Percentage of total population","Total",":",""
"1986","Slovenia","Total","Percentage of active population","Total",":",""
"1986","Slovakia","Total","Thousand persons","Total",":",""
"1986","Slovakia","Total","Percentage of total population","Total",":",""
"1986","Slovakia","Total","Percentage of active population","Total",":",""
"1986","Finland","Total","Thousand persons","Total",":",""
"1986","Finland","Total","Percentage of total population","Total",":",""
"1986","Finland","Total","Percentage of active population","Total",":",""
"1986","Sweden","Total","Thousand persons","Total","120",""
"1986","Sweden","Total","Percentage of total population","Total",":",""
"1986","Sweden","Total","Percentage of active population","Total","2.7",""
"1986","United Kingdom","Total","Thousand persons","Total","3,100",""
"1986","United Kingdom","Total","Percentage of total population","Total",":",""
"1986","United Kingdom","Total","Percentage of active population","Total","11.2",""
"1986","Iceland","Total","Thousand persons","Total",":",""
"1986","Iceland","Total","Percentage of total population","Total",":",""
"1986","Iceland","Total","Percentage of active population","Total",":",""
"1986","Norway","Total","Thousand persons","Total",":",""
"1986","Norway","Total","Percentage of total population","Total",":",""
"1986","Norway","Total","Percentage of active population","Total",":",""
"1986","Turkey","Total","Thousand persons","Total",":",""
"1986","Turkey","Total","Percentage of total population","Total",":",""
"1986","Turkey","Total","Percentage of active population","Total",":",""
"1986","United States","Total","Thousand persons","Total","8,237",""
"1986","United States","Total","Percentage of total population","Total",":",""
"1986","United States","Total","Percentage of active population","Total","7.0",""
"1986","Japan","Total","Thousand persons","Total","1,668",""
"1986","Japan","Total","Percentage of total population","Total",":",""
"1986","Japan","Total","Percentage of active population","Total","2.8",""
"1987","European Union (28 countries)","Total","Thousand persons","Total",":",""
"1987","European Union (28 countries)","Total","Percentage of total population","Total",":",""
