"","date","place","CO2","O3","CO","SO2","TinyDust","MicroDust","Year","Month","Day","date2"
"182",20170519,"동작구",0.026,0.054,0.4,0.004,39,24,"2017","05","19",2017-05-19
"183",20170519,"강남구",0.032,0.038,0.3,0.006,49,24,"2017","05","19",2017-05-19
"184",20170519,"도산대로",0.042,0.034,0.5,0.006,51,31,"2017","05","19",2017-05-19
"185",20170519,"중구",0.037,0.047,0.4,0.006,39,22,"2017","05","19",2017-05-19
"186",20170519,"서초구",0.031,0.048,0.5,0.006,50,26,"2017","05","19",2017-05-19
"187",20170519,"종로",0.043,0.038,0.4,0.005,45,28,"2017","05","19",2017-05-19
"188",20170519,"홍릉로",0.051,0.032,0.5,0.006,54,32,"2017","05","19",2017-05-19
"189",20170519,"금천구",0.038,0.042,0.4,0.004,49,25,"2017","05","19",2017-05-19
"190",20170519,"강서구",0.028,0.058,0.3,0.008,51,22,"2017","05","19",2017-05-19
"191",20170519,"영등포구",0.033,0.051,0.7,0.006,50,21,"2017","05","19",2017-05-19
"192",20170519,"강북구",0.024,0.056,0.4,0.005,35,21,"2017","05","19",2017-05-19
"193",20170519,"강동구",0.034,0.044,0.5,0.005,53,20,"2017","05","19",2017-05-19
"194",20170519,"관악구",0.031,0.048,0.4,0.005,50,29,"2017","05","19",2017-05-19
"195",20170519,"마포구",0.031,0.048,0.5,0.006,46,28,"2017","05","19",2017-05-19
"196",20170518,"강남구",0.032,0.041,0.3,0.006,45,23,"2017","05","18",2017-05-18
"197",20170518,"공항대로",0.062,0.025,0.5,0.007,70,40,"2017","05","18",2017-05-18
"198",20170518,"용산구",0.038,0.025,0.4,0.004,37,24,"2017","05","18",2017-05-18
"199",20170518,"도산대로",0.035,0.053,0.5,0.005,52,40,"2017","05","18",2017-05-18
"200",20170518,"정릉로",0.038,0.051,0.6,0.008,60,31,"2017","05","18",2017-05-18
"201",20170518,"강변북로",0.064,0.023,0.5,0.005,58,NA,"2017","05","18",2017-05-18
"202",20170518,"화랑로",0.051,0.031,0.6,0.005,58,NA,"2017","05","18",2017-05-18
"203",20170518,"한강대로",0.065,0.029,0.5,0.006,66,NA,"2017","05","18",2017-05-18
"204",20170518,"금천구",0.038,0.05,0.4,0.005,47,24,"2017","05","18",2017-05-18
"205",20170518,"중랑구",0.039,0.042,0.4,0.007,54,29,"2017","05","18",2017-05-18
"206",20170518,"천호대로",0.049,0.037,0.5,0.005,43,24,"2017","05","18",2017-05-18
"207",20170518,"구로구",0.026,0.04,0.5,0.007,51,26,"2017","05","18",2017-05-18
"208",20170518,"도봉구",0.028,0.049,0.6,0.006,49,28,"2017","05","18",2017-05-18
"209",20170518,"청계천로",0.055,0.034,0.7,0.008,51,31,"2017","05","18",2017-05-18
"210",20170518,"관악구",0.031,0.054,0.4,0.005,52,30,"2017","05","18",2017-05-18
"211",20170518,"강동구",0.038,0.041,0.5,0.004,55,21,"2017","05","18",2017-05-18
"212",20170518,"종로구",0.043,0.045,0.6,0.006,42,25,"2017","05","18",2017-05-18
"213",20170518,"서대문구",0.035,0.045,0.5,0.009,52,29,"2017","05","18",2017-05-18
"214",20170518,"강서구",0.039,0.053,0.4,0.008,55,25,"2017","05","18",2017-05-18
"215",20170518,"송파구",0.034,0.047,0.5,0.004,55,28,"2017","05","18",2017-05-18
"216",20170518,"영등포로",0.077,0.015,0.5,0.007,62,NA,"2017","05","18",2017-05-18
"217",20170518,"강북구",0.027,0.056,0.4,0.005,34,22,"2017","05","18",2017-05-18
"218",20170518,"동대문구",0.037,0.036,0.5,0.007,42,22,"2017","05","18",2017-05-18
"219",20170518,"성동구",0.036,0.029,0.4,0.004,61,29,"2017","05","18",2017-05-18
"220",20170518,"서초구",0.028,0.054,0.5,0.006,48,26,"2017","05","18",2017-05-18
"221",20170518,"동작대로",0.065,0.028,0.7,0.006,59,NA,"2017","05","18",2017-05-18
"222",20170518,"광진구",0.033,0.052,0.5,0.005,42,23,"2017","05","18",2017-05-18
"223",20170518,"동작구",0.027,0.06,0.4,0.004,38,24,"2017","05","18",2017-05-18
"224",20170518,"신촌로",0.075,0.019,0.9,0.008,55,35,"2017","05","18",2017-05-18
"225",20170518,"강남대로",0.074,0.024,0.6,0.006,60,NA,"2017","05","18",2017-05-18
"226",20170518,"노원구",0.033,0.052,0.5,0.005,44,25,"2017","05","18",2017-05-18
"227",20170518,"중구",0.044,0.045,0.5,0.006,40,24,"2017","05","18",2017-05-18
"228",20170518,"성북구",0.037,0.041,0.5,0.006,66,27,"2017","05","18",2017-05-18
"229",20170518,"양천구",0.037,0.036,0.5,0.005,41,29,"2017","05","18",2017-05-18
